PersonID,FullName,PreferredName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress
1,Data Conversion Only,Data Conversion Only,0,NO LOGON,0,0,0,0,"{""theme"":""blitzer"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",NULL,NULL,NULL
2,Kayla Woodcock,Kayla,1,kaylaw@wideworldimporters.com,0,1,1,1,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,kaylaw@wideworldimporters.com
3,Hudson Onslow,Hudson,1,hudsono@wideworldimporters.com,0,1,1,1,"{""theme"":""dark-hive"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsono@wideworldimporters.com
4,Isabella Rupp,Isabella,1,isabellar@wideworldimporters.com,0,1,1,0,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,isabellar@wideworldimporters.com
5,Eva Muirden,Eva,0,evam@wideworldimporters.com,0,1,1,0,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,evam@wideworldimporters.com
6,Sophia Hinton,Sophia,1,sophiah@wideworldimporters.com,0,1,1,1,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,sophiah@wideworldimporters.com
7,Amy Trefl,Amy,1,amyt@wideworldimporters.com,0,1,1,1,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,amyt@wideworldimporters.com
8,Anthony Grosse,Anthony,1,anthonyg@wideworldimporters.com,0,1,1,1,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,anthonyg@wideworldimporters.com
9,Alica Fatnowna,Alica,1,alicaf@wideworldimporters.com,0,1,1,0,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,alicaf@wideworldimporters.com
10,Stella Rosenhain,Stella,1,stellar@wideworldimporters.com,0,1,1,0,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,stellar@wideworldimporters.com
11,Ethan Onslow,Ethan,1,ethano@wideworldimporters.com,0,1,1,0,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,ethano@wideworldimporters.com
12,Henry Forlonge,Henry,1,henryf@wideworldimporters.com,0,1,1,0,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,henryf@wideworldimporters.com
13,Hudson Hollinworth,Hudson,1,hudsonh@wideworldimporters.com,0,1,1,1,"{""theme"":""black-tie"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsonh@wideworldimporters.com
14,Lily Code,Lily,1,lilyc@wideworldimporters.com,0,1,1,1,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,lilyc@wideworldimporters.com
15,Taj Shand,Taj,1,tajs@wideworldimporters.com,0,1,1,1,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,tajs@wideworldimporters.com
16,Archer Lamble,Archer,0,archerl@wideworldimporters.com,0,1,1,1,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,archerl@wideworldimporters.com
17,Piper Koch,Piper,1,piperk@wideworldimporters.com,0,1,1,0,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,piperk@wideworldimporters.com
18,Katie Darwin,Katie,1,katied@wideworldimporters.com,0,1,1,0,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,katied@wideworldimporters.com
19,Jai Shand,Jai,1,jais@wideworldimporters.com,0,1,1,0,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jais@wideworldimporters.com
20,Jack Potter,Jack,1,jackp@wideworldimporters.com,0,1,1,1,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jackp@wideworldimporters.com
21,Reio Kabin,Reio,0,NO LOGON,0,0,0,0,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,reio@adatum.com
22,Oliver Kivi,Olly,0,NO LOGON,0,0,0,0,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,olly@adatum.com
23,Hanna Mihhailov,Hanna,0,NO LOGON,0,0,0,0,"{""theme"":""humanity"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,hannam@contoso.com
